Simulation Run,Loss Event Frequency,Annualized Risk ($),Secondary Response ($),Fines and Judgements ($),Reputation ($),Primary Response ($)
28,1.579965597,59284.04345,164.9382197,154.366836,216.007747,21600.7747
29,1.186788876,82510.17973,128.6616179,36.1181454,263.3226808,26332.26808
30,1.044003137,27611.55543,445.473946,504.6205817,835.3621462,83536.21462
31,0.982084752,28136.97456,187.1344286,155.8299678,403.5012656,40350.12656
32,0.342478071,18556.06885,507.9807423,633.2660718,751.2194488,75121.94488
33,0.7080695,27719.80681,244.4837822,262.7274423,554.4003281,55440.03281
34,0.454461704,26660.39137,387.3693315,391.0070266,451.5791882,45157.91882
35,0.760332737,24469.24652,354.3926037,552.5394166,641.0655224,64106.55224
36,0.799319307,16678.67224,93.84282137,62.10444079,141.8690264,14186.90264
37,1.035495255,40104.31077,170.3736167,95.23154982,291.1062125,29110.62125
38,0.524076139,21306.31085,83.1912949,96.68053702,146.1756124,14617.56124
39,1.357568389,65065.49135,409.5236641,486.8973094,659.0065027,65900.65027
40,1.553296616,67898.82188,545.1345818,364.8055081,1184.579311,118457.9311
41,0.42153716,13574.1714,182.0555791,184.3137147,150.0424871,15004.24871
42,0.310385589,18026.06977,249.839342,271.9019123,466.2922423,46629.22423
43,1.467537905,51365.7339,223.1181881,232.5333054,483.7035373,48370.35373
44,1.244682871,48937.46222,307.2438955,185.6377018,470.6402052,47064.02052
45,1.352185687,81623.01528,303.3310693,235.2887425,486.6039513,48660.39513
46,1.332994689,80955.605,264.583019,183.1710146,492.154427,49215.4427
47,0.833167991,41644.77323,395.3903491,262.9308411,738.4107451,73841.07451
48,1.002449957,58798.23059,491.8785497,200.1677268,686.669803,68666.9803
49,0.587812202,15424.84706,223.059794,156.2969887,413.2859594,41328.59594
50,0.67829889,19648.52163,292.7109594,430.3692274,347.6599054,34765.99054
51,0.944978525,37216.40733,235.2637139,163.2400134,511.3498297,51134.98297
52,1.148071016,29407.6793,491.2884786,257.504707,873.6440526,87364.40526
53,1.407971952,38875.61014,589.9536728,424.2496114,980.7868703,98078.68703
54,1.156765766,44500.33047,365.4091096,381.8467101,574.7605394,57476.05394
55,0.637114913,17793.35898,369.4873896,245.3367771,575.9086195,57590.86195
56,0.885731636,25596.12979,321.146544,398.8045969,766.8792381,76687.92381
57,1.814481966,85902.2716,248.5615856,284.6228097,377.269601,37726.9601
58,0.849656666,42311.15177,218.7898719,235.6735479,348.7357953,34873.57953
59,0.460866777,33086.21694,222.31215,368.3391971,331.0742542,33107.42542
60,1.336678429,86403.52746,175.3471184,171.2215536,254.2000063,25420.00063
61,0.463561,10499.95036,393.5685502,286.7127958,586.1320051,58613.20051
62,0.367337177,19523.63109,414.5393533,375.7439672,634.9183128,63491.83128
63,0.336633999,14364.61421,262.4696956,138.5598179,435.8770563,43587.70563
64,1.464272253,45626.34185,161.522268,159.9476294,361.4808846,36148.08846
65,1.038408338,40163.28319,468.7946795,355.3640335,505.9677966,50596.77966
66,1.274263858,40520.31891,273.5340804,358.5616956,512.5520347,51255.20347
67,1.330397273,43114.40587,198.8429843,432.7964367,267.8081165,26780.81165
68,1.139814921,34272.11334,493.7058299,227.4742403,651.3523993,65135.23993
69,1.2521478,33127.28431,417.8248966,188.1130645,692.7710939,69277.10939
70,1.226537229,63387.36634,115.4436516,78.40606355,161.189593,16118.9593
71,1.571640422,85724.09626,431.4365284,430.1561631,779.6150606,77961.50606
72,0.474270247,13798.40508,188.7751652,131.5683266,309.8204659,30982.04659
73,1.060169251,58357.02669,248.9386539,270.6710427,375.7124654,37571.24654
74,1.189804216,57007.45159,366.6585611,498.5474649,693.138423,69313.8423
75,1.084495735,27734.30596,333.3000016,377.7630637,674.1965081,67419.65081
76,0.559510544,25341.27614,118.687791,135.5667936,127.4408068,12744.08068
77,0.99880856,28219.24216,63.82660021,112.005116,112.4233039,11242.33039
78,1.158790963,54676.33746,377.541273,218.4371479,713.5376304,71353.76304
79,0.619840376,17260.80775,473.9667019,394.5494104,1034.456201,103445.6201
80,0.666570739,31995.45523,85.88617203,129.430228,142.7634501,14276.34501
81,1.648169331,77855.52859,138.9815706,136.2941234,282.2824692,28228.24692
82,1.292573827,51735.31227,112.3453258,244.8020444,176.9677629,17696.77629
83,1.138087722,40408.8697,302.6483186,312.8726914,346.0062609,34600.62609
84,0.471130574,14105.73818,501.1879417,217.3229402,892.735305,89273.5305
85,0.859162021,34783.85928,340.9530403,282.2179397,605.6207507,60562.07507
86,1.429680297,86790.89733,153.5977559,185.6176112,306.4060745,30640.60745
87,1.1326644,57368.92943,367.3327083,49.55192563,582.3172838,58231.72838
88,1.143239316,69965.66228,273.0357832,217.162786,415.6718434,41567.18434
89,1.763698146,83396.4259,295.7661412,328.6122727,366.1152409,36611.52409
90,0.985285071,22396.5261,242.6338618,288.8077866,531.6763468,53167.63468
91,0.8049437,32837.27671,180.706463,92.06384376,306.8675191,30686.75191
92,0.904461501,35424.61158,288.0758476,333.3461526,296.6176975,29661.76975
93,0.703891261,32350.05425,258.0612363,122.3031483,313.6289109,31362.89109
94,0.402198186,15310.8994,366.4569296,372.5162444,576.8975924,57689.75924
95,0.58256688,35800.66452,225.0320365,128.3659987,309.9736454,30997.36454
96,1.002531443,42428.97391,285.4210085,186.9734454,639.7199825,63971.99825
97,1.41201417,36688.98638,215.3679433,76.98684547,361.2486071,36124.86071
98,0.917300563,42577.55682,202.3235608,293.8306339,279.039338,27903.9338
99,0.642467156,24322.48815,211.327243,44.76305836,335.7922334,33579.22334
100,0.868791482,57680.47505,558.3626966,250.0074689,692.755561,69275.5561
101,0.909147899,37456.40544,331.179825,300.7257376,687.0309387,68703.09387
102,0.97211257,28036.94082,589.8049291,373.0511177,833.61489,83361.489
103,1.4254388,49929.21133,247.1541922,503.1187266,475.7357346,47573.57346
104,0.678894918,30894.39867,167.075263,306.7167499,176.3838809,17638.38809
105,0.389442009,17384.98744,152.9077842,165.2646426,190.4744019,19047.44019
106,1.355244905,70392.8708,489.0104575,393.0341375,650.3709446,65037.09446
107,1.749990173,81788.20888,501.7308006,364.2117495,1124.898296,112489.8296
108,0.954707336,51240.60694,405.7138977,356.6776009,708.7928653,70879.28653
109,1.477272159,67632.11649,136.7398809,205.8857298,207.3426368,20734.26368
110,1.37102442,42265.29653,140.4248707,230.9083233,144.9678903,14496.78903
111,0.690762754,21100.38164,194.3965006,82.84299936,370.6201591,37062.01591
112,0.862305896,23573.84803,154.7627674,91.21112676,267.9942117,26799.42117
113,0.820621412,22289.73224,231.4031049,152.9053097,323.7487864,32374.87864
114,1.965823697,71800.41628,447.5030875,241.0612171,953.837467,95383.7467
115,0.900200391,24319.78675,212.8591789,247.5124662,288.8731784,28887.31784
116,0.882730942,36041.62288,399.1981405,308.5438644,794.6519395,79465.19395
117,0.863636285,36879.93353,262.4524744,479.7170557,465.7000643,46570.00643
118,1.112698838,56445.67685,214.3808699,126.9432648,310.6897631,31068.97631
119,1.148925575,40227.39735,430.4216796,502.1790612,628.0982003,62809.82003
120,1.009020827,26652.92273,252.6765988,248.0150106,439.9977237,43999.77237
121,0.900183524,29220.98678,319.1194669,102.5343014,391.8793277,39187.93277
122,0.831264165,30349.06443,321.4625068,155.1796983,637.3838353,63738.38353
123,0.720525434,40825.28597,487.0585577,213.2000067,998.4016611,99840.16611
124,0.874161522,32441.23902,286.4392442,292.481367,359.4184665,35941.84665
125,1.097400916,40153.54172,376.5922485,366.8008528,742.2624834,74226.24834
126,1.08385823,40605.02934,127.0462975,227.7928224,262.7842107,26278.42107
127,0.603861368,18210.25349,142.9296744,89.68063694,291.3529065,29135.29065
128,0.64646089,33895.54227,436.9955167,321.3378018,656.4322063,65643.22063
129,1.464965717,52592.22931,403.5174651,341.4195395,932.6343169,93263.43169
130,1.365103571,65035.37659,218.9162238,175.7273756,270.5295346,27052.95346
131,0.654145249,23067.83962,147.577683,182.1215699,174.7835789,17478.35789
132,1.049498953,50801.17742,484.4565167,332.5232331,1194.115261,119411.5261
133,0.9237459,33246.20869,414.7291994,476.8486095,481.9462116,48194.62116
134,0.920374239,28105.28507,260.6041934,246.2312956,366.7716133,36677.16133
135,0.561048024,10990.40777,130.0499698,120.2616874,262.9402213,26294.02213
136,1.338053541,40650.31828,133.7390778,216.1020083,208.7194587,20871.94587
137,1.022097268,36764.41992,248.0677663,245.0440075,463.99733,46399.733
138,1.156558097,43994.74882,385.4674125,397.9667406,533.2468297,53324.68297
139,0.94253406,22222.85223,203.8304907,228.1001305,480.3114737,48031.14737
140,1.041183528,49562.76654,308.8859344,409.6151574,517.3248856,51732.48856
141,0.668809073,28694.28116,180.6938364,150.5946534,347.91425,34791.425
142,1.023820668,33484.01513,377.2498259,209.6678823,745.5456493,74554.56493
143,0.966118981,31809.13914,314.3264124,109.2117563,525.966853,52596.6853
144,0.7014175,39285.65899,411.0561136,211.7141866,738.6789189,73867.89189
145,0.602872154,17992.97405,439.1514634,370.5513328,903.6808917,90368.08917
146,1.677344586,88239.05322,52.32858666,53.03894428,59.47615714,5947.615714
147,1.092499214,39397.19102,298.1315975,320.8617154,553.3145284,55331.45284
148,0.8991593,40647.74993,239.295807,180.372244,312.8574319,31285.74319
149,0.722977846,30207.22164,468.5226071,195.8658486,1086.580783,108658.0783
150,0.730581096,30332.01919,171.3548469,177.9719667,241.9888783,24198.88783
151,1.16979056,49379.45886,334.8668311,298.0701755,465.0981204,46509.81204
152,0.570603587,12266.05095,212.6953918,132.9112691,327.4632167,32746.32167
153,0.63073002,32607.78009,115.3752965,134.2263775,146.0910356,14609.10356
154,1.191168666,29987.18564,324.8941622,430.5944654,492.0584426,49205.84426
155,1.713185385,54061.84185,290.264345,283.4518584,683.0651817,68306.51817
156,1.187676871,37600.17388,415.6359769,405.7407498,560.5490832,56054.90832
157,1.488518482,91937.95132,318.0460101,207.077091,429.6075185,42960.75185
158,0.595558312,18479.12125,329.1534898,403.4816748,617.2445021,61724.45021
159,0.827112689,32933.80524,216.0091452,205.7642468,427.842906,42784.2906
160,0.245791708,8572.730989,241.2195509,234.867387,451.2296736,45122.96736
161,0.544917633,20284.89001,370.3192707,274.62469,643.2232832,64322.32832
162,0.902485476,45179.81741,126.9475849,181.7710466,118.465543,11846.5543
163,0.635888491,24317.39833,178.6304733,180.0205671,240.3944379,24039.44379
164,0.746361214,30790.27003,346.6263297,356.6579497,688.8659416,68886.59416
165,1.024173797,25707.4062,324.7830536,292.7783468,608.3186891,60831.86891
166,1.002596516,56745.11819,270.3508331,225.565653,414.8064288,41480.64288
167,0.966901865,61996.26663,423.3262686,420.2119392,667.3676547,66736.76547
168,0.913844115,50364.11085,419.3989976,283.8800413,764.0940949,76409.40949
169,1.123437212,51966.19783,276.207713,395.7452403,267.5817373,26758.17373
170,0.981531907,48190.25421,325.6505909,256.3317959,543.2156948,54321.56948
171,1.076637735,42192.81928,360.7499272,126.1889163,589.268036,58926.8036
172,2.155710373,100915.5689,193.8666791,139.347907,276.8118933,27681.18933
173,1.078428665,31311.80707,394.5577081,424.5964016,746.8594371,74685.94371
174,1.599460488,49224.10958,449.0633217,238.0304386,624.5831858,62458.31858
175,1.736114298,77524.35107,558.6196242,239.9087252,1196.888185,119688.8185
176,0.948822699,30615.04533,592.419919,166.0392103,927.3261949,92732.61949
177,0.321721958,21332.21143,229.4614851,173.0495575,329.297979,32929.7979
178,0.949937214,41802.68762,329.9877591,374.7725697,523.3471767,52334.71767
179,0.641561688,29187.29587,292.4983549,413.1443735,507.4919533,50749.19533
180,1.094060442,31097.31811,268.9374564,170.9378654,351.7008785,35170.08785
181,0.563060889,21465.12302,377.4686489,255.6712885,607.8606824,60786.06824
182,0.648474438,17642.47277,253.2203353,350.0608369,354.4150355,35441.50355
183,0.646872765,19039.94322,136.3760223,104.873502,245.3541925,24535.41925
184,1.632725649,50649.06051,285.9630525,272.8767901,655.2909485,65529.09485
185,0.654535492,27516.08415,135.3145411,212.0111865,189.2318522,18923.18522
186,1.291540863,26075.02214,171.611692,244.8959839,278.4380535,27843.80535
187,1.523107936,60597.8244,536.4614144,258.2448438,635.6051915,63560.51915
188,1.48576243,73349.44565,312.1309734,162.9794697,436.2910017,43629.10017
189,0.829146736,34177.41845,409.3252706,216.9754813,518.4872669,51848.72669
190,1.367291574,45719.67371,211.5359602,168.9976701,387.0389836,38703.89836
191,0.916958755,34453.31986,361.2858898,288.9456189,465.1997003,46519.97003
192,1.318887717,47301.14396,277.1875661,250.0761072,582.0823952,58208.23952
193,1.134950469,41934.88528,209.4059245,122.8053088,277.7621724,27776.21724
194,0.309122231,10952.47275,170.9514266,131.6703636,288.1942852,28819.42852
195,1.324729046,62314.93677,175.4713143,116.9275339,264.4792967,26447.92967
196,1.502861639,49928.67276,163.565211,256.9062366,241.5360852,24153.60852
197,0.694470703,23991.34505,245.5374779,260.1371907,301.1168298,30111.68298
198,0.842736223,24800.03397,259.4510657,334.4583587,451.9501624,45195.01624
199,1.309249798,68461.68981,226.4100061,96.28897619,247.7011748,24770.11748
200,0.947334083,47772.99073,316.736006,249.1866374,500.2124394,50021.24394
201,1.141196602,60446.26138,456.2443497,380.2224485,802.5259774,80252.59774
202,1.512715155,60120.19027,136.1070275,103.9286132,210.3918007,21039.18007
203,0.828054865,48761.65245,275.8736033,537.5661124,334.8408565,33484.08565
204,1.349486909,43234.83503,411.1622542,251.5540822,580.0891304,58008.91304
205,1.112696054,57361.78264,392.4389303,160.9050091,741.8469938,74184.69938
206,0.521035927,23016.23372,314.8972256,472.9988357,552.4784636,55247.84636
207,0.508670136,11830.59061,276.4242399,216.905865,472.8679425,47286.79425
208,1.445298093,37410.35591,123.1037849,170.6761468,153.5622225,15356.22225
209,0.545628876,16405.01433,411.151283,324.1097256,525.7235431,52572.35431
210,0.747505059,26058.69569,472.4191464,296.965045,557.3609018,55736.09018
211,1.057966905,38340.53488,370.9677543,79.37195489,712.7826985,71278.26985
212,1.366105585,85366.83316,274.1084294,86.16366767,355.0711723,35507.11723
213,1.013441152,51189.31927,280.8764759,228.3151458,338.5245359,33852.45359
214,0.748775635,24933.50028,423.4108852,327.0236121,759.0895188,75908.95188
215,1.136945415,42865.24376,179.1335621,75.02084463,302.9932865,30299.32865
216,1.049369251,53366.57003,510.6651931,473.5572447,710.3731061,71037.31061
217,0.538606368,25265.60305,297.5062497,229.108237,650.7426723,65074.26723
218,1.129931388,43593.32379,425.1118922,240.6042266,604.5157513,60451.57513
219,0.472861488,11824.17112,205.199425,107.9559434,281.1158701,28111.58701
220,1.09444247,47845.7537,394.7104277,170.222354,626.7229773,62672.29773
221,0.444941071,15609.62331,180.4028131,98.72692381,226.7751278,22677.51278
222,0.677121696,38855.2688,279.2282,369.7388846,447.2778935,44727.78935
223,0.296433219,12726.15784,320.5674862,154.563829,690.3808194,69038.08194
224,0.826542345,36502.54748,249.0189591,109.7849958,374.2045204,37420.45204
225,0.946014636,28353.92624,135.9918943,130.8713109,257.3506659,25735.06659
226,0.67858155,35105.76609,144.6723699,84.56327598,245.8276812,24582.76812
227,0.795747997,46000.68062,274.4070017,403.2473491,445.7760126,44577.60126
228,0.921305499,32378.36619,467.8884328,151.2942835,574.27789,57427.789
229,1.214209066,57586.30018,377.5907435,172.7385202,601.3883665,60138.83665
230,0.92759315,43732.4096,219.6559597,316.9606253,425.8820781,42588.20781
231,1.107115807,29631.10904,167.9206813,132.4044907,254.4937602,25449.37602
232,1.438833508,75917.82574,230.1255123,137.5390746,300.1694514,30016.94514
233,1.493183823,67461.80413,290.5983036,235.3977466,594.0184677,59401.84677
234,1.019132389,36155.73354,337.9784971,511.347208,550.8441498,55084.41498
235,0.828985413,52021.95452,210.2767733,180.2668831,420.6128176,42061.28176
236,0.533323576,16542.77844,84.57328493,81.21966793,83.45948634,8345.948634
237,0.45816061,17943.49447,116.1482761,94.82993032,270.9058612,27090.58612
238,0.746415576,26617.91566,143.9184189,134.8678425,307.8867074,30788.67074
239,0.74390767,30772.59356,270.3269143,292.981227,385.1576088,38515.76088
240,0.88680901,25339.73308,375.4865849,394.3612126,645.7076371,64570.76371
241,1.135317524,64184.44427,131.751156,205.2728539,214.3495364,21434.95364
242,0.751862716,34281.44869,360.7672329,237.1111058,829.4883262,82948.83262
243,0.454011682,31281.11163,346.6859074,135.2610918,758.9003991,75890.03991
244,1.391915635,71967.83949,254.338182,202.037337,378.7152489,37871.52489
245,0.975597127,40226.79048,482.4235013,296.3079967,819.6572971,81965.72971
246,1.196856809,57579.41676,172.5837934,272.8404218,257.3454561,25734.54561
247,0.919080908,47489.50636,191.0180115,202.0700663,213.7149109,21371.49109
248,1.649159712,71388.48485,261.9828667,152.9471753,377.9569519,37795.69519
249,1.097137829,58542.46676,121.0447797,211.4257512,161.1567072,16115.67072
250,0.548534736,22109.14675,321.2421491,125.4883032,686.4751973,68647.51973
251,0.862557914,23311.05478,347.9068304,387.0751359,488.003689,48800.3689
252,1.663609726,44928.02966,153.9661123,157.7067882,271.6561671,27165.61671
253,1.162122311,39210.31181,271.2548867,219.5815255,470.9625631,47096.25631
254,0.720704144,25721.58909,307.8914482,251.8703154,544.8763413,54487.63413
255,1.321659628,52160.49277,276.2454893,304.2406878,470.2019362,47020.19362
256,1.383648212,34581.78733,268.8295122,332.9219109,579.8063166,57980.63166
257,1.460983704,57640.27681,356.0691428,201.1307015,492.8547199,49285.47199
258,0.634139935,27798.0558,441.8614535,234.0363718,624.9586331,62495.86331
259,0.763796666,31849.12289,196.5953886,190.0255822,384.2485972,38424.85972
260,1.249088498,44386.86773,376.4649063,317.2514815,481.0926861,48109.26861
261,0.328725715,10179.51092,410.3528026,281.3223206,785.8268081,78582.68081
262,1.130297792,44752.86269,327.5157246,322.7040871,621.1172635,62111.72635
263,1.486082983,33464.57272,509.9252161,556.6813221,857.6697671,85766.97671
264,1.276242695,62120.78654,364.7445551,272.3106148,577.6312682,57763.12682
265,0.515330824,32193.98416,122.3306644,340.2715923,121.9524641,12195.24641
266,0.979557793,43059.14788,269.9877668,240.2103819,377.2360244,37723.60244
267,0.630824726,16563.23911,232.9605184,240.8858103,397.7533323,39775.33323
268,1.247980602,31338.63817,319.8800404,249.5809219,621.0330373,62103.30373
269,1.17237547,43310.86275,197.7120178,141.6068785,435.2826395,43528.26395
270,0.75080028,29272.49433,201.2270196,189.4919236,315.6016861,31560.16861
271,0.941518473,50161.94028,383.9271555,322.7406874,850.5711482,85057.11482
272,0.601207819,13422.38225,203.5831514,290.1983369,265.9918891,26599.18891
273,0.726156898,25569.14048,416.3384611,86.44791743,572.5169449,57251.69449
274,0.625489284,29157.97813,349.6805225,306.3616337,662.2515314,66225.15314
275,0.716397541,28269.75939,400.5268249,345.6473547,535.1501541,53515.01541
276,0.830895061,34143.87635,338.0263139,279.2486751,434.6944693,43469.44693
277,1.099821161,43853.86855,252.1628916,159.4608583,404.4498926,40444.98926
278,0.972434665,25557.89366,296.4203074,71.88897841,459.6161017,45961.61017
279,1.303448706,50803.42998,388.640737,320.6517901,673.8087922,67380.87922
280,0.940783069,34094.588,218.3502917,98.42355314,399.8477181,39984.77181
281,1.260083617,33255.71754,272.621389,497.2473818,523.6815059,52368.15059
282,1.072663935,49506.27896,431.8930886,237.7586215,653.4825406,65348.25406
283,0.86895991,37867.14454,339.0699639,213.2847038,566.685162,56668.5162
284,1.297480117,79854.77617,157.1538274,93.73057422,236.4051209,23640.51209
285,1.010313727,31746.55441,493.986953,332.2858157,844.5665703,84456.65703
286,0.852810322,20396.76825,221.105297,47.05316696,235.4251017,23542.51017
287,0.604418525,27161.03634,379.2158522,169.9848138,772.8408542,77284.08542
288,0.664647524,21247.84658,433.6732975,282.7992118,829.9566919,82995.66919
289,1.233758166,63873.37249,453.9039124,530.0458968,463.9970046,46399.70046
290,0.976179803,39035.70032,305.4709053,395.1591217,664.5300803,66453.00803
291,0.692977466,19810.81365,628.423451,455.4386106,1285.193877,128519.3877
292,1.145415035,54755.17406,216.0342266,317.6676755,278.9800514,27898.00514
293,0.540526265,11475.43448,393.470029,249.5965719,725.2522901,72525.22901
294,0.964692912,54020.51361,93.63837531,186.0369301,120.320003,12032.0003
295,0.75841544,31452.44974,218.2606086,45.06951979,344.3609495,34436.09495
296,0.771939111,29637.82685,452.8119227,248.1884052,861.4030678,86140.30678
297,0.96284093,29885.13073,107.1888977,43.55646297,134.9447856,13494.47856
298,1.10979078,29095.73963,183.2466671,182.6068751,293.3959151,29339.59151
299,0.637985979,16122.22553,318.5293319,262.84649,367.6611607,36766.11607
300,1.056637545,44897.98592,303.0898339,265.8303198,497.2552269,49725.52269
301,1.403884343,82840.29632,369.7311213,195.0788372,638.5332934,63853.32934
302,0.869049921,44850.45498,404.7003612,123.3012756,606.3228206,60632.28206
303,1.221569578,29421.00207,129.2642191,140.41694,228.1604635,22816.04635
304,2.310650244,67786.289,576.2374772,321.763065,1067.887918,106788.7918
305,1.296695603,47318.30461,409.1993578,201.1211613,572.7701537,57277.01537
306,0.606150933,30364.80503,373.0089961,215.6007556,803.3344414,80333.44414
307,0.853478665,32404.41794,418.5111871,305.3386353,425.3473625,42534.73625
308,1.411887775,70292.81025,117.0891904,93.38285111,128.6905451,12869.05451
309,1.378580589,71745.28406,197.4158552,184.161504,409.5242512,40952.42512
310,0.568763117,21615.68286,552.6606944,451.6351785,989.7688196,98976.88196
311,1.30227449,40902.08417,301.7451382,177.5195715,394.423189,39442.3189
312,1.017681163,36841.3118,508.5628011,393.5087754,1051.324605,105132.4605
313,0.822004528,28067.0284,374.1138251,350.6479779,669.3387437,66933.87437
314,1.327002842,39743.49499,352.1047114,233.8513707,677.6923859,67769.23859
315,1.39670918,69008.12315,334.0021256,260.2136281,478.095928,47809.5928
316,0.662108314,25625.76545,241.4312277,215.9984432,316.2874202,31628.74202
317,0.359451132,16457.28377,217.1986892,72.3134131,458.2566064,45825.66064
318,1.416451884,68376.62153,369.7821136,369.1690689,532.829606,53282.9606
319,0.999564613,39761.81998,381.8237686,116.6599967,629.9278624,62992.78624
320,1.143405603,51908.35552,176.1289119,225.6361591,303.0634047,30306.34047
321,0.71199989,22190.17076,386.06293,173.8764917,613.4857449,61348.57449
322,0.532392737,24189.83499,319.5199957,147.9190209,616.2471484,61624.71484
323,0.770000854,27618.07449,515.9203327,413.2510971,843.9529704,84395.29704
324,1.330517292,75897.70307,166.346523,140.1173174,313.4345823,31343.45823
325,0.488811679,20070.86483,409.1414747,385.1208049,821.5873193,82158.73193
326,0.616357943,17494.23552,372.4952702,121.7570645,730.6185659,73061.85659
327,1.081141982,20190.26093,113.2048378,92.39073681,212.1558037,21215.58037
328,1.744707319,102159.405,285.028361,192.6009451,629.0935957,62909.35957
329,1.379485819,33758.70739,222.3630651,408.7467192,350.6944448,35069.44448
330,1.015550473,32155.75304,375.5068119,256.0356296,715.0089676,71500.89676
331,1.125172855,28961.44175,245.4766088,247.4331534,436.4801303,43648.01303
332,1.424553652,73339.79476,251.3497433,419.5928063,364.5768692,36457.68692
333,0.480656086,29111.94235,204.6439444,52.94982627,392.4057532,39240.57532
334,1.26253857,75736.90165,265.8232989,169.9536014,479.6785808,47967.85808
335,1.157047638,59855.40751,470.5546927,345.3656293,718.0656162,71806.56162
336,1.319632549,55418.00583,304.3211747,346.0431914,440.7968834,44079.68834
337,0.8591162,29491.95429,318.4371785,72.11390339,533.6953605,53369.53605
338,1.054675124,32892.30611,219.5362615,222.0472865,470.4892714,47048.92714
339,1.026329452,39447.30534,335.6387171,267.7152122,522.5873971,52258.73971
340,0.502487311,14380.42207,308.9136156,387.0036607,590.9860541,59098.60541
341,1.392693769,44900.89909,489.3742178,270.576091,802.3280887,80232.80887
342,1.944484186,60791.39078,186.9600852,199.3093877,290.9859694,29098.59694
343,0.913869821,40566.02595,159.5534255,67.78726085,213.619831,21361.9831
344,0.868874423,45793.48975,203.4111731,242.67582,414.5597175,41455.97175
345,0.641320869,17656.1457,248.0093542,232.8168548,404.3716242,40437.16242
346,1.365788833,40578.46834,196.9381817,181.9577214,371.0162107,37101.62107
347,1.043916185,48338.55561,260.8346352,196.8396123,264.6333165,26463.33165
348,1.233068296,56280.16389,514.4254389,278.3444002,829.9025639,82990.25639
349,1.155026061,56448.85902,506.0942221,203.3784956,987.6975876,98769.75876
350,0.929091939,27213.16284,248.2146898,197.4834389,346.5050619,34650.50619
351,0.762307788,33329.74688,172.3278011,273.6003261,321.0590829,32105.90829
352,0.857478407,26048.93354,179.8074127,189.7244593,204.3361367,20433.61367
353,0.536162967,21658.70733,327.6275486,175.9167776,579.6698151,57966.98151
354,0.932712991,45340.78741,452.2377673,506.8053674,850.0994605,85009.94605
355,0.943572306,53151.55734,241.6851107,94.82997914,528.9822472,52898.22472
356,0.823294748,34120.95784,360.7077892,145.9877122,743.5353388,74353.53388
357,1.167359838,40636.43603,396.3196981,176.5320651,558.5699911,55856.99911
358,0.602361052,23820.15786,211.5268193,266.9646164,491.5044092,49150.44092
359,1.085720188,44177.91792,122.4867314,58.44101543,266.2628642,26626.28642
360,1.061648058,44523.634,180.5690143,103.995439,268.1088374,26810.88374
361,1.162316007,28408.0219,346.1194829,438.5293082,632.3808763,63238.08763
362,1.232840949,43809.89629,227.4992893,239.9976162,396.5824761,39658.24761
363,0.654029829,22667.0376,408.0263256,354.8478338,551.52758,55152.758
364,0.830873841,18890.01262,277.5598076,299.848365,487.7896372,48778.96372
365,1.149440643,64344.53327,164.1555979,425.6548982,311.0777477,31107.77477
366,1.856174422,82716.96236,274.1447534,158.1290246,457.1743778,45717.43778
367,1.556724542,42856.60558,293.2720485,198.2263081,691.6675799,69166.75799
